Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/companies/create,15,1,5200.0,5539.896103933764,2215.673061000416,7968.6937630031025,1715.7333333333333,0.07533872522962982,0.005022581681975322,5200,6500,6900,7700,7700,8000,8000,8000,8000,8000,8000
GET,/api/dynamic-dropdown?dropdown_type=employee,63,0,3300.0,3491.5822409853313,369.0863310039276,10097.671003997675,3565.0,0.31642264596444525,0.0,3300,4200,4600,4900,6300,7000,7600,10000,10000,10000,10000
GET,/api/dynamic-dropdown?dropdown_type=employer,16,0,3200.0,4004.018286376777,1604.576605008333,7972.879100008868,10890.0,0.08036130691160515,0.0,3600,4200,5800,5800,6500,8000,8000,8000,8000,8000,8000
GET,/api/dynamic-dropdown?dropdown_type=job,75,0,3400.0,3906.4515566529008,358.18605800159276,11752.935256998171,11053.0,0.3766936261481491,0.0,3400,4500,5200,5800,7200,7800,9600,12000,12000,12000,12000
POST,/api/employees/swipe-left,11,0,2900.0,2871.434152728232,1368.8433680072194,4342.211001989199,179.0,0.05524839850172854,0.0,2900,3300,3500,3500,4300,4300,4300,4300,4300,4300,4300
POST,/api/employees/swipe-right,11,0,3600.0,4023.075942548034,386.442992996308,9549.5402450033,179.0,0.05524839850172854,0.0,3600,4600,5000,5000,6700,9500,9500,9500,9500,9500,9500
PATCH,/api/jobs/00b3a24e-3344-4949-8e75-4dec6d846168/update,1,0,4683.646571997087,4683.646571997087,4683.646571997087,4683.646571997087,2260.0,0.005022581681975322,0.0,4700,4700,4700,4700,4700,4700,4700,4700,4700,4700,4700
PATCH,/api/jobs/08328e8c-82d6-43dc-abd6-e4658eff499f/update,1,0,4657.202997012064,4657.202997012064,4657.202997012064,4657.202997012064,2170.0,0.005022581681975322,0.0,4700,4700,4700,4700,4700,4700,4700,4700,4700,4700,4700
PATCH,/api/jobs/09905cb5-84dc-4cfd-ad2d-1f9d87e348ee/update,1,0,5445.211364989518,5445.211364989518,5445.211364989518,5445.211364989518,2326.0,0.005022581681975322,0.0,5400,5400,5400,5400,5400,5400,5400,5400,5400,5400,5400
PATCH,/api/jobs/0f0b0f0b-10b4-47f5-bb4e-06f5a652a6ab/update,1,0,5447.008688002825,5447.008688002825,5447.008688002825,5447.008688002825,2410.0,0.005022581681975322,0.0,5400,5400,5400,5400,5400,5400,5400,5400,5400,5400,5400
